. سميج . ربرث						      |	. سميج . ربرت
وهو . دالبلا يف اهنوضقي يتلا ةدملا ةدايزو بناجالا نيحئاسلا دد |	وهو . دالبلا يف اهنوضقي يتلا ةدملا ةدايزو بناجالا نيحملاسلا د
ضعب يوريو يناثلاو لوالا يسلا ىلا يهتنيف هترابع ةسالسو باذجلا  |	ضعب يوريو يناثلاو لوالا يبسلا ىلا يهتنيف هتوابع ةسالسو باذجلا
زاهجلا نع هريرقت يف دراولا ركنس لوب ريسلا يأرً اضاي وه اذهو .  |	زاهجلا نع هريرقت يف دراولا ركنس لوب ريسلا يأرًاضيا وه اذهو . ل
دجن شارفلل ًامئاق ًاعطقم انذخا اذا نحنو . ةرايطلا ةحنجا هيلع ین |	دجن شارفلل ًامئاقًًاعطقم انذخا اذا نحنو . ةرايطلا ةحنجا هيلع ىنب
ةيبرتلا بولسا ،اهنم ملسملا هب ىلحتي نا بجي امو قالخالاو مالسا |	ةيبرتلا بولسا ،اهنم ملسملا دب ىلحتي نا بجي امو قالخالاو مالسا
. ةنامورلا ةريظحلا ىلا ةلتحملا				      |	. ةينامورلا ةريظحلا ىلا ةلتحملا
تاـساردلل ةيرصملا ةيعمجلا ،ةرهاقلا . ١٨٤٠ - ١٨٣٠ يرصملا مكحلا |	تاساردلل ةيرصملا ةيعمجلا ،ةرهاقلا . ١٨٤.٠ - ١٨٣٠ يرصملا مكحلا
ص ١٩٢ . ١٩٦٢ ،داشرالا ةعبطم ،دادغب . داصتقالا يف تالاقم .     |	. ص ١٩٢ . ١٩٦٢ ،داشرالا ةعبطم ،دادغب . داصتقالا يف تالاقم
- ٤٧ -							      |	-- ٤؟٧٣ هس
. مهتاموکح لبق						      |	. مهتاموکح لبقا
نم صوصنلاو بتكلا هذهل امل ثحبلا اذهل ددحملا رصعلا لالخ ترشن ي |	نم صوصنلاو بتكلا هذهل امل ثحبلا اذهل ددحملا رصعلا لالخ ترشن ي
بعشتم صصختم زاـهج ةطخلا هذه جمارب ذـيفنت ىلع فارشالا .	      |	بعشتم صصختم زاهج ةطخلا هذه جمارب ذيفنت ىلع فارشالا
ثاحبالاو تاكوكسملا ريدم يدنبشقنلا رصان موحرملا هبتک لاقم رخآ  |	ثاحبالاو تاكوكسملا ريدم يدنبشقنلا رصان موحرملا هبتك لاقم رخآ 
نع هـتمتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةيبنجالاو ةي |	نع همممتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةيبنجالاو ةي
ةمظنالاو نيناوقللً اقوف اهلبق نم اهلامعتسا نكميو ةلماكلا ةيسنر |	ةمظنالاو نيناوقلل ًاقوو اهلبق نم اهلامعتسا نکميو ةلماكلا ةيسنر
ةکرحتم روص ضرع اھولتی					      |	ةکرحتم روص ضرع اهولتي
ءزجلل هذه هتعبط يفف . ةرم لوال باتكلا عـبط هنا معز نيح ،باتكل |	هزجلل هذه هتعبط يفف . ةرم لوال باتكلا عبط هنا معز نيح ،باتكلا
. يکبلعب يزمر : هررح					      |	. يكبلعب يزمر : هروح
الا مهللا - رخآ بعش اهيلا مهقبس املق ةجرد ىلا لصو يذلا نوناقل |	الا مهلا - رخآ بعش اهيلا مهقبس املق ةجرد ىلا لصو يذلا نوناقلا
ودبيو . ًايعوضومً اخرمؤ الً اعفامد ًارشبم ةيميت نبا نع هتباتك يف  |	ودبيو . ًايعوضوً اخرم ال ً اعفادم ًارشبم ةيميت نبا نع هتباتك يف ن
