. سميج . ربرث						      |	* سممح . رسصارت
لكشلا باـصا ديدجتلا اذه نا ملعن نحنو . ديدجتلا نم داقنلا فقوم |	لكشلا باصا ديدجتلا اذه نأ ىلعن ن>و . ديدجتلا نم داقنلا ففقوم 
وهو . دالبلا يف اهنوضقي يتلا ةدملا ةدايزو بناجالا نيحئاسلا دد |	وهو . دالبلا يف ابنوضقي يتلا ةدملا ةدايزو بناحالا نيحثاسلا دد
ضعب يوريو يناثلاو لوالا يسلا ىلا يهتنيف هترابع ةسالسو باذجلا  |	ضعب يوريو يناثلاو لوالا ىسلا ىلا ىهتنف هتوابع ةسالسو يباذملا 
ىلا ايناطيرب نم رفسلل الثم ةماعلا ةحصلا وا بلقلا ةحارج يف نيي |	ىلا امناطيرب نم رفسلل الثم ةماعلا ةحصلا وا بلقلا ةحارح ى نيصا
زاهجلا نع هريرقت يف دراولا ركنس لوب ريسلا يأرً اضاي وه اذهو .  |	زابملا نع هربرقت ىف دراولا ركنس لوي ريسلا يأر أضيا وه اذهو . 
مالا ةبرلا وا تيدورفا مسا اوسانت نكلو تيزلاب هتراجح نوحسميو م |	مالا ةيرلا وأ تيدورفا ممأ اوسانت نكلو تيزلاب هتراحح نوحسميو م
. ةنامورلا ةريظحلا ىلا ةلتحملا				      |	. ةنامورلا ةريظألا ىلا هتحلا
. وفعلا حارتقا لبق ةفرتقملا مئارجلا نع ماعلا		      |	. وذعلا حارتقا لبق ةفرتقملا مثارطا نع مأعلا
دبع بيج لسرا ظفل يفو ىرداوقلا قاذرلا دـبع ديسلا ىلا بسلاو متش |	دنع بيح لسرا ظفل يىفو ىرداوقلا قادرلا لبع ديسلا ىلا بسلاو متش
ىلع ثحبلا كلذ يف امب ةكرتشم ةعفنم تاذ نوكت ةمئاقلا لكاشملا ضع |	ىلع ثحبلا كلذ يف ام ةك رتشم ةعفنم تاذ توكقت ةمئاقلا لك ادْلا ض
. ةرافس ةجرد ىلا نيدلبلا نيب يسامولبدلا ليثمتلا عفر ررقت دقو  |	. ةرافس ةحرد ىلا نيدلبلا نيب يسامولبدلا ليثمتلا مفر ررقت دقو
. اهاوه عبتي						      |	. اهاوه عش
ناجشا . ليصالا حابشا . ةريهظلا جهو . حابصلا ةظقي : نم سبتقم . |	نراخشا . ليصالا حاشا . ةريبظلا جهو . حابصلا ةظقي : نم سدتقم ,
نم صوصنلاو بتكلا هذهل امل ثحبلا اذهل ددحملا رصعلا لالخ ترشن ي |	نمصوصنلاو بتكلا هذهل ال ثحبلا اذهل ددحنا رصعلا لالخ ترشن ىتلا
بعشتم صصختم زاـهج ةطخلا هذه جمارب ذـيفنت ىلع فارشالا .	      |	بعشتم صصختم زاسهج ةطخلا هذه جمارب ذيفنت ىلع فارشالا 
: بساحلا نبا نيحلت نم وهو يسنلبلا قاقزلا نبا رعشو	      |	: بساحلا نبا نيحلت نم وهو ىسنلما ىاقزلا نبا رعشو
نع هـتمتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةيبنجالاو ةي |	نع هنتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةسنحالاو ةيبرع
يحاونلاب نومتهي لئالق نيربخم ىلع دمتعت ةيبرعلا دئارجلا امنيب  |	يحاونلاب _هرو.تم لئالق نيربخم ىلع دمتعت ةيبرعلا دئا را انيب ر
ةمظنالاو نيناوقللً اقوف اهلبق نم اهلامعتسا نكميو ةلماكلا ةيسنر |	ة.ظنالاو نيناوقلل ًاقفو املدق نم اهلاعتسا نكميو ةلماكلا ةسنرفل
ةيلخلا ةدحو بهذم قاثبنا دهاش يذلا ًابيرقت ليجلا سفن يف سوردلا  |	ةءاحلا ةدحو بهذم قاثننا دهاش يذلا ًاسرقت لملا سفن يف سوردلا هذ
الا مهللا - رخآ بعش اهيلا مهقبس املق ةجرد ىلا لصو يذلا نوناقل |	الا مهللا - رخآ بعشس اهيلا مهقبس اماق ةجرد ىلا لصو يذلا نوناق
ودبيو . ًايعوضومً اخرمؤ الً اعفامد ًارشبم ةيميت نبا نع هتباتك يف  |	ودسو . ًاعوضوم أخرؤم ال ًاعفادم ً]رشيم ةيميت نبا نع هتباتك ىف نا
تاضواـفملا يف لوخدلا نم ريغلا عنمي ال هسفن ةصاخ يف ةطخلا هذهب |	تاضوافملا يف لوخدلا نم ريغلا منمي ال هسفن ةصاخ يف ةطخلا هذبب 
ةماقاب حمس دق ةدحتملا ممالا ةمظنم يفً اوعض ةيدوعسلا ةيبرعلا ةك |	ةماقاب ممس دق ةدحتملا ممالا ةمظنم يف ًاوضع ةيدوعسلا ةيبرعلا ةك
ةيبرعلا لودلاو نانويلا يف تمقافت نا تثبل ام نيدرـشملا نيئجالل |	ةسسرعلا لودلاو نانوملا ىف تقافد نا ثّثبل ام نيدرسثملا نيثحاللا
ةيناملرب تاراشتساب ةيروهمجلا سيئر موقي نأب ينانبللا يسايسلا ف |	ةيناملرب تأراشتساب ةيروهمجا سيئر موقي نأب يناتيللا يساسلا فرع
باتكلا راد						      |	ككاشخا5
ةقيرطلاف . مدآ ءانبأك ةريثك هللا ىلا قرط ةيفوصلا لوقي امك كان |	ةقيرطلاف .مدآ ءانبأك ةريثك هللا ىلا قرط ةمفوصلا لوقي اك كانبف
ةركف تناك . ةررحملا ةيبرتلا هنمضتت نا بجي ام يف نيعم دحل ولو  |	ةركف تناك .ةررحغأ ةيبرتلا هنمضتت نأ بحي ام ىف نيعم دط ولو راث
